% Model,yuin.mph
% Version,COMSOL 5.4.0.388
% Date,"Aug 12 2026, 12:36"
% Table,Table 3 - Global Evaluation 1 (freq*a/(c_const))
% U,lambda (THz),freq*a/(c_const) (1)
10,0.08945502831714752+1.521524436584847E-15i,0.08951695674460315+1.5225777660339073E-15i
10,0.4188790413244498+1.0903108916107234E-15i,0.4191690252505783+1.091065698134464E-15i
10,0.4707199175556053+2.461567793255132E-16i,0.4710457901735526+2.4632719011781797E-16i
10,0.5143160066734299,0.5146720602358481
10,0.5495132211369002,0.5498936412238564
10,0.5760448107725011-4.3529049751087743E-16i,0.5764435982967601-4.3559184285170787E-16i
10,0.626093404659855-6.588743926060952E-16i,0.626526840104685-6.593305218566524E-16i
10,0.7148364989034157-2.0200883410817666E-16i,0.715331369913998-2.0214868191398265E-16i
10,0.7820928911904276+9.181606542643702E-17i,0.7826343228325252+9.187962836587137E-17i
10,0.7957743086044181-2.283217070031745E-16i,0.7963252116947032-2.284797708318344E-16i
10,0.834457701785975-7.907281857565132E-16i,0.8350353848321043-7.912755954886428E-16i
10,0.8474825458936326-1.8904027005996845E-16i,0.8480692458517076-1.8917113991570308E-16i
10,0.8514943160758511+1.1869320056623193E-15i,0.8520837933246317+1.187753701591438E-15i
10,0.86183166923615+1.5742008958309124E-15i,0.8624283028856082+1.575290692433876E-15i
10,0.8950992808225985,0.8957189451603199
10,0.9254560227456211-9.160289933369765E-16i,0.9260967026184704-9.166631470131677E-16i
