% Model,SiGratingSlab80.mph
% Version,COMSOL 5.4.0.388
% Date,"Aug 17 2026, 16:22"
% Table,"Table 6 - Global Evaluation 2 (freq, real(freq)/(2*abs(imag(freq))))"
% U (rad),lambda (THz),Frequency (1/s),Q (1)
0.004363323129985824,1.6263399399101757+4.8909928515286606E-5i,1.6263399399101758E12+4.890992851528661E7i,16625.867071159893
0.004363323129985824,1.6746534772219954+0.024944394506956565i,1.6746534772219954E12+2.4944394506956566E10i,33.56773155497848
0.004363323129985824,1.898761119758397+0.08581581300225331i,1.898761119758397E12+8.581581300225331E10i,11.0630025710328
0.004363323129985824,2.032420573567561+1.4978161769849868E-6i,2.032420573567561E12+1497816.1769849868i,678461.2841005297
0.004363323129985824,2.1835837019466733+0.017495218986728497i,2.1835837019466733E12+1.7495218986728497E10i,62.40515490555145
0.004363323129985824,2.2539405276753346+4.585584573434985E-7i,2.2539405276753345E12+458558.45734349854i,2457637.070672262
0.004363323129985824,2.294911566150845+1.017302899114334E-5i,2.2949115661508447E12+1.017302899114334E7i,112793.91654878795
0.004363323129985824,2.299729084560702+1.062250046570696E-5i,2.299729084560702E12+1.062250046570696E7i,108248.01053127788
0.004363323129985824,2.4350885435305996+0.08428897991441844i,2.4350885435305996E12+8.428897991441844E10i,14.444880849210836
0.004363323129985824,2.545227866760383+8.322088343042145E-6i,2.5452278667603833E12+8322088.343042145i,152920.02210529128
0.004363323129985824,2.5957445000389705+0.005233022394827604i,2.5957445000389707E12+5.233022394827604E9i,248.0158027418956
0.004363323129985824,2.6566720037537794+6.746165689186218E-6i,2.6566720037537793E12+6746165.689186218i,196902.36840849445
0.004363323129985824,2.706957217065611+0.034381914996640714i,2.706957217065611E12+3.438191499664072E10i,39.366004152620555
0.005235987755982989,0.5873821418062908+0.06124577710368315i,5.873821418062908E11+6.124577710368315E10i,4.795286871876161
0.005235987755982989,0.9830629280628875+0.09070362330323033i,9.830629280628876E11+9.070362330323033E10i,5.419094035397132
0.005235987755982989,1.2260571421525308+0.004262766849687627i,1.2260571421525308E12+4.262766849687627E9i,143.81001652041743
0.005235987755982989,1.237511513828162+2.8238367556745895E-4i,1.237511513828162E12+2.823836755674589E8i,2191.188126121922
0.005235987755982989,1.2479097615972548+0.4000129100981649i,1.247909761597255E12+4.000129100981649E11i,1.5598368578791775
0.005235987755982989,1.2575267159141748+0.48607616732175474i,1.2575267159141748E12+4.8607616732175476E11i,1.2935490366078406
0.005235987755982989,1.4871533137113389+0.080287196402095i,1.4871533137113389E12+8.0287196402095E10i,9.26145998586976
0.005235987755982989,1.6263227299741285+7.035917806083364E-5i,1.6263227299741287E12+7.035917806083363E7i,11557.289146896976
0.005235987755982989,1.674673623446412+0.024926735205077197i,1.6746736234464119E12+2.4926735205077198E10i,33.59191666434733
0.005235987755982989,1.8987595883472403+0.08581515002652332i,1.8987595883472405E12+8.581515002652332E10i,11.063079116918058
0.005235987755982989,2.0324151071009795+2.1287334140125496E-6i,2.0324151071009797E12+2128733.4140125494i,477376.61600143375
0.005235987755982989,2.183580562915175+0.01749682669701733i,2.183580562915175E12+1.749682669701733E10i,62.39933105376783
0.005235987755982989,2.2539421831867616+6.622196296785497E-7i,2.2539421831867617E12+662219.6296785497i,1701808.6463858339
0.005235987755982989,2.294431851547337+1.0275682781670494E-5i,2.294431851547337E12+1.0275682781670494E7i,111643.76617581496
0.005235987755982989,2.300211602200788+1.0545367394545984E-5i,2.300211602200788E12+1.0545367394545984E7i,109062.65832854943
0.005235987755982989,2.4350880893079916+0.08428669418310857i,2.4350880893079917E12+8.428669418310857E10i,14.445269878647075
0.005235987755982989,2.5452009926026293+1.2084371023216707E-5i,2.5452009926026294E12+1.2084371023216708E7i,105309.6180062969
0.005235987755982989,2.595759364320457+0.005228895585720141i,2.595759364320457E12+5.22889558572014E9i,248.21296598552757
0.005235987755982989,2.656682747514401+1.0032332997708048E-5i,2.656682747514401E12+1.0032332997708049E7i,132406.02899252533
0.005235987755982989,2.7069594196313997+0.0343807615738152i,2.7069594196314E12+3.43807615738152E10i,39.36735685478609
0.006108652381980154,0.5873909108586958+0.06124105207484051i,5.873909108586958E11+6.1241052074840515E10i,4.795728444874414
