% Model,SiGratingSlab.mph
% Version,COMSOL 5.4.0.388
% Date,"Aug 17 2026, 16:06"
% Table,"Table 6 - Global Evaluation 2 (freq, real(freq)/(2*abs(imag(freq))))"
% U (rad),lambda (THz),Frequency (1/s),Q (1)
0.039269908169872414,2.5406471207492785+5.840953554874112E-4i,2.5406471207492783E12+5.840953554874111E8i,2174.856465541641
0.039269908169872414,2.598123751777443+0.004606164279960757i,2.5981237517774434E12+4.606164279960757E9i,282.02682252136026
0.039269908169872414,2.6586461408022752+5.937887575816394E-4i,2.6586461408022754E12+5.937887575816394E8i,2238.7137739272043
0.039269908169872414,2.7073532643623737+0.034168508402015484i,2.7073532643623735E12+3.4168508402015484E10i,39.617668300128024
0.04363323129985824,0.5890407213572099+0.06035705074971298i,5.890407213572098E11+6.035705074971298E10i,4.879634724034382
0.04363323129985824,0.9837543925088751+0.08978944824196441i,9.837543925088751E11+8.978944824196442E10i,5.478118040428625
0.04363323129985824,1.207042268097684+0.0025487571726101i,1.207042268097684E12+2.5487571726101E9i,236.7903621947616
0.04363323129985824,1.2503594215780949+0.3993992078193818i,1.250359421578095E12+3.9939920781938184E11i,1.5653003274652693
0.04363323129985824,1.256513592616793+0.002030518045120201i,1.256513592616793E12+2.0305180451202009E9i,309.4071475100855
0.04363323129985824,1.2601750265876264+0.48535803123115734i,1.2601750265876265E12+4.8535803123115735E11i,1.298191175894495
0.04363323129985824,1.4865142354124687+0.0793198556681667i,1.4865142354124688E12+7.93198556681667E10i,9.370379099221235
0.04363323129985824,1.6223012066105893+0.0043038950050452805i,1.6223012066105894E12+4.30389500504528E9i,188.46895715495288
0.04363323129985824,1.679359968607198+0.021547991056744917i,1.679359968607198E12+2.154799105674492E10i,38.96790109539069
0.04363323129985824,1.8984153658950829+0.08566597538496452i,1.898415365895083E12+8.566597538496452E10i,11.080334738290269
0.04363323129985824,2.0312026972165675+1.442443568130284E-4i,2.0312026972165674E12+1.442443568130284E8i,7040.839385659438
0.04363323129985824,2.182867242456237+0.017852611574696524i,2.182867242456237E12+1.7852611574696526E10i,61.13579610812048
0.04363323129985824,2.254035754692574+4.382584030793335E-5i,2.2540357546925737E12+4.382584030793335E7i,25715.8304193947
0.04363323129985824,2.2739631474188644+2.0262713334443763E-5i,2.2739631474188643E12+2.0262713334443763E7i,56112.010022701324
0.04363323129985824,2.321587135924375+1.0523025449984567E-5i,2.321587135924375E12+1.0523025449984567E7i,110309.8698638888
0.04363323129985824,2.4349877179410786+0.08377386187933712i,2.4349877179410786E12+8.377386187933713E10i,14.533099366054591
0.04363323129985824,2.539636997028994+6.966084561617586E-4i,2.5396369970289937E12+6.966084561617585E8i,1822.8582890180046
0.04363323129985824,2.5986065364108692+0.00448612752661192i,2.598606536410869E12+4.48612752661192E9i,289.62691330059306
0.04363323129985824,2.6591203519439124+7.300413003007174E-4i,2.6591203519439126E12+7.300413003007175E8i,1821.2122730923386
0.04363323129985824,2.7074459918845997+0.0341167007884879i,2.7074459918845996E12+3.41167007884879E10i,39.679188334620285
